date,followers,following,media,avg_likes,avg_comments
2022-05-18,4607,817,163,561.875,32.625
2022-05-17,4587,817,162,561.75,32.625
2022-05-16,4587,817,162,561.75,32.625
2022-05-15,4585,817,162,561.312,32.625
2022-05-14,4580,817,162,560.75,32.625
2022-05-13,4585,817,162,559.375,32.625
2022-05-12,4587,817,161,565.25,32.875
2022-05-11,4586,817,161,565.25,32.875
2022-05-10,4583,817,161,565.25,32.875
2022-05-09,4579,816,161,565.188,32.875
2022-05-08,4574,815,161,565.125,32.875
2022-05-07,4570,809,161,565.062,32.875
2022-05-06,4565,809,161,565.062,32.875
2022-05-05,4568,808,161,565.062,32.875
2022-05-04,4569,808,161,565.0,32.875
2022-05-03,4565,809,161,564.938,32.875
2022-05-02,4557,809,160,564.938,32.875
2022-05-01,4557,808,160,564.938,32.875
2022-04-30,4553,808,160,564.875,32.875
2022-04-29,4556,808,160,564.875,32.875
2022-04-28,4550,808,160,564.875,32.875
2022-04-27,4546,808,160,564.875,32.875
2022-04-26,4539,806,160,564.688,32.875
2022-04-25,4541,806,160,564.625,32.875
2022-04-24,4533,807,160,564.625,32.875
2022-04-23,4532,805,160,564.562,32.875
2022-04-22,4529,807,160,564.562,32.8125
2022-04-21,4524,805,159,564.562,32.75
2022-04-20,4525,804,159,564.125,32.625
2022-04-19,4518,801,159,563.188,32.625
2022-04-18,4517,799,159,580.375,34.4375
2022-04-17,4515,800,158,580.375,34.4375
2022-04-16,4514,797,158,580.125,34.4375
2022-04-15,4508,797,158,580.125,34.4375
2022-04-14,4506,797,158,580.125,34.4375
2022-04-13,4506,797,158,580.125,34.4375
2022-04-12,4508,799,158,580.062,34.4375
2022-04-11,4510,797,158,580.0,34.4375
2022-04-10,4509,797,158,580.0,34.4375
2022-04-08,4513,793,157,579.812,34.4375
2022-04-07,4513,792,157,579.75,34.4375
2022-04-06,4512,792,157,579.688,34.4375
2022-04-05,4500,793,157,579.625,34.4375
2022-04-04,4503,793,157,579.625,34.4375
2022-04-03,4499,792,157,579.562,34.4375
2022-04-02,4495,790,157,579.562,34.4375
2022-04-01,4497,790,157,579.562,34.4375
2022-03-31,4492,789,157,579.562,34.625
2022-03-30,4487,789,157,579.312,34.625
2022-03-29,4486,789,157,579.25,34.625
2022-03-28,4491,786,157,579.188,34.625
2022-03-27,4494,783,157,578.375,34.625
2022-03-26,4500,781,156,576.375,34.625
2022-03-25,4491,780,155,552.375,33.875
2022-03-24,4488,779,155,552.312,33.875
2022-03-23,4486,778,154,552.312,33.875
2022-03-22,4482,778,154,551.938,33.875
2022-03-21,4475,776,154,551.875,33.875
2022-03-20,4474,777,154,551.812,33.875
2022-03-19,4472,777,154,551.875,33.875
2022-03-18,4470,777,154,551.812,33.875
2022-03-17,4467,775,154,551.625,33.875
2022-03-16,4462,774,154,551.562,33.875
2022-03-15,4464,773,154,551.188,33.875
2022-03-14,4458,771,153,551.188,33.875
2022-03-13,4462,770,153,550.875,33.8125
2022-03-12,4458,768,153,550.188,33.8125
2022-03-11,4461,768,153,549.438,33.8125
2022-03-10,4458,768,153,546.188,33.8125
2022-03-09,4454,768,152,527.812,33.5625
2022-03-08,4453,768,152,527.625,33.5625
2022-03-07,4448,767,152,527.625,33.5625
2022-03-06,4445,767,152,527.438,33.5625
2022-03-05,4447,766,152,527.312,33.5625
2022-03-04,4446,766,152,527.312,33.5625
2022-03-03,4440,765,152,527.0,33.5625
2022-03-02,4435,764,152,526.938,33.5625
2022-03-01,4435,764,152,526.938,33.5625
2022-02-28,4437,764,152,526.812,33.5625
2022-02-27,4435,763,152,526.625,33.5625
2022-02-26,4430,764,152,526.375,33.5625
2022-02-25,4430,764,152,525.812,33.5625
2022-02-24,4428,763,152,525.812,33.5625
2022-02-23,4423,764,152,525.812,33.5625
2022-02-22,4415,765,152,525.5,33.5625
2022-02-21,4408,764,152,524.625,33.4375
2022-02-20,4401,763,152,521.312,33.375
2022-02-19,4410,762,151,520.75,32.25
2022-02-18,4400,761,151,520.375,32.25
2022-02-17,4408,760,151,519.688,32.1875
2022-02-16,4408,760,151,519.688,32.125
2022-02-15,4409,758,151,519.688,32.0625
2022-02-14,4405,757,151,519.812,32.0625
2022-02-13,4405,756,151,519.75,32.0625
2022-02-12,4404,756,151,519.75,32.0625
2022-02-11,4399,756,151,519.688,32.0625
2022-02-10,4396,755,151,519.25,32.0625
2022-02-09,4424,756,151,517.938,32.0625
2022-02-08,4414,757,151,517.938,32.0625
2022-02-07,4410,755,151,517.938,32.0625
2022-02-06,4410,757,151,517.812,32.0625
2022-02-05,4406,757,151,517.812,32.0625
2022-02-04,4408,757,151,517.812,32.0625
2022-02-03,4403,757,151,517.812,32.0625
2022-02-02,4400,755,151,517.812,32.0625
2022-02-01,4400,756,151,517.562,32.0625
2022-01-31,4397,762,151,517.875,32.0625
2022-01-30,4399,764,151,517.875,32.0625
2022-01-29,4392,763,151,517.875,32.0625
2022-01-28,4392,764,151,517.875,32.0625
2022-01-27,4390,788,151,517.875,32.0625
2022-01-26,4383,788,151,517.875,32.0625
2022-01-25,4374,788,151,517.875,32.125
2022-01-24,4364,788,151,517.812,32.125
2022-01-23,4364,787,151,517.875,32.125
2022-01-22,4361,790,151,517.938,32.125
2022-01-21,4362,791,151,517.125,32.125
2022-01-20,4360,790,151,517.062,32.125
2022-01-19,4359,790,151,517.062,32.125
2022-01-18,4355,790,151,517.0,32.125
2022-01-17,4351,794,151,516.812,32.125
2022-01-16,4347,794,151,516.875,32.125
2022-01-15,4346,793,151,516.875,32.125
2022-01-14,4345,793,151,516.875,32.125
2022-01-13,4344,793,151,516.812,32.125
2022-01-12,4340,793,151,516.875,32.125
2022-01-11,4340,793,151,516.938,32.125
2022-01-10,4333,792,151,516.625,32.125
2022-01-09,4332,792,151,516.688,32.125
2022-01-08,4332,792,151,516.688,32.125
2022-01-07,4331,792,151,516.562,32.125
2022-01-06,4328,792,151,516.562,32.125
2022-01-05,4327,794,151,516.625,32.125
2022-01-04,4322,794,151,516.5,32.125
2022-01-03,4324,794,151,516.438,32.125
2022-01-02,4321,794,151,515.875,32.125
2022-01-01,4321,794,151,515.875,32.125
2021-12-31,4320,795,151,515.875,32.125
