date,followers,following,tweets,favorites
2022-05-18,4169,175,821,938
2022-05-17,4165,175,819,938
2022-05-16,4154,175,814,935
2022-05-15,4140,175,803,922
2022-05-14,4131,175,800,920
2022-05-13,4125,173,787,915
2022-05-12,4123,173,783,909
2022-05-11,4109,173,781,906
2022-05-10,4098,173,774,902
2022-05-09,4096,173,770,899
2022-05-08,4093,174,766,898
2022-05-07,4092,174,764,896
2022-05-06,4087,174,762,895
2022-05-05,4086,174,759,894
2022-05-04,4084,174,750,894
2022-05-03,4079,174,748,891
2022-05-02,4058,174,742,884
2022-05-01,3840,173,726,871
2022-04-30,3833,173,725,869
2022-04-29,3833,173,723,866
2022-04-28,3812,173,721,863
2022-04-27,3813,173,720,863
2022-04-26,3803,167,699,860
2022-04-25,3798,165,691,853
2022-04-24,3795,165,688,851
2022-04-23,3781,165,684,847
2022-04-22,3781,165,681,843
2022-04-21,3777,164,668,838
2022-04-20,3773,164,661,835
2022-04-19,3760,164,659,834
2022-04-18,3747,163,650,825
2022-04-17,3748,163,642,818
2022-04-16,3746,161,641,815
2022-04-15,3744,159,637,812
2022-04-14,3744,159,630,804
2022-04-13,3739,158,621,796
2022-04-12,3738,158,621,794
2022-04-11,3734,158,617,789
2022-04-10,3733,158,615,788
2022-04-09,3729,158,612,786
2022-04-08,3725,158,602,784
2022-04-07,3724,158,597,784
2022-04-06,3725,158,592,781
2022-04-05,3725,157,589,777
2022-04-04,3720,156,588,776
2022-04-03,3718,156,588,775
2022-04-02,3718,156,588,775
2022-04-01,3714,156,587,775
2022-03-31,3715,156,584,775
2022-03-30,3714,156,582,775
2022-03-29,3708,156,577,773
2022-03-28,3703,156,577,773
2022-03-27,3704,156,576,772
2022-03-26,3701,156,574,772
2022-03-25,3701,156,574,772
2022-03-24,3698,156,573,772
2022-03-23,3698,157,573,772
2022-03-22,3698,157,573,772
2022-03-21,3693,157,572,772
2022-03-20,3693,157,572,772
2022-03-19,3691,157,572,772
2022-03-18,3685,157,572,772
2022-03-17,3680,166,569,768
2022-03-16,3677,166,563,764
2022-03-15,3674,166,563,762
2022-03-14,3672,166,563,762
2022-03-13,3670,166,563,762
2022-03-12,3671,166,562,761
2022-03-11,3670,166,561,760
2022-03-10,3669,166,560,759
2022-03-09,3669,166,559,757
2022-03-07,3669,166,555,754
2022-03-06,3667,166,555,754
2022-03-05,3666,166,555,754
2022-03-04,3663,166,555,754
2022-03-03,3662,162,555,753
2022-03-02,3654,162,555,753
2022-03-01,3652,162,555,750
2022-02-28,3651,162,550,747
2022-02-27,3650,162,550,745
2022-02-26,3650,162,549,745
2022-02-25,3646,162,549,743
2022-02-24,3642,162,549,743
2022-02-23,3629,161,548,740
2022-02-22,3621,161,546,738
2022-02-21,3608,161,545,736
2022-02-20,3591,161,543,733
2022-02-19,3587,161,540,731
2022-02-18,3563,159,530,726
2022-02-17,3563,158,524,723
2022-02-16,3561,158,517,722
2022-02-15,3560,158,517,722
2022-02-14,3560,158,517,722
2022-02-13,3558,158,517,722
2022-02-12,3557,158,517,721
2022-02-11,3558,158,517,720
