date,subs,views
2022-05-18,160000,10609469
2022-05-17,159000,10596085
2022-05-16,159000,10596085
2022-05-15,159000,10582538
2022-05-14,159000,10557181
2022-05-13,159000,10557181
2022-05-12,159000,10544247
2022-05-11,159000,10530573
2022-05-10,158000,10506763
2022-05-09,158000,10506763
2022-05-08,158000,10496296
2022-05-07,158000,10476971
2022-05-06,158000,10476971
2022-05-05,158000,10466032
2022-05-04,158000,10441147
2022-05-03,158000,10427778
2022-05-02,158000,10414709
2022-05-01,158000,10414709
2022-04-30,157000,10397030
2022-04-29,157000,10387557
2022-04-28,157000,10387557
2022-04-27,157000,10365869
2022-04-26,157000,10354350
2022-04-25,156000,10343929
2022-04-24,156000,10335314
2022-04-23,156000,10335314
2022-04-22,156000,10316919
2022-04-21,156000,10306190
2022-04-20,156000,10306190
2022-04-19,156000,10285171
2022-04-18,156000,10274624
2022-04-17,156000,10264296
2022-04-16,155000,10264296
2022-04-15,155000,10242720
2022-04-14,155000,10242720
2022-04-13,155000,10230906
2022-04-12,155000,10219820
2022-04-11,155000,10196032
2022-04-10,155000,10196032
2022-04-09,155000,10184418
2022-04-08,155000,10162825
2022-04-07,154000,10162825
2022-04-06,154000,10152352
2022-04-05,154000,10130321
2022-04-04,154000,10130321
2022-04-03,154000,10109745
2022-04-02,154000,10109745
2022-04-01,154000,10100783
2022-03-31,154000,10090927
2022-03-30,154000,10081453
2022-03-29,153000,10071619
2022-03-28,153000,10060478
2022-03-27,153000,10040937
2022-03-26,153000,10040937
2022-03-25,153000,10020311
2022-03-24,153000,10020311
2022-03-23,153000,10008465
2022-03-22,153000,9996473
2022-03-21,152000,9972728
2022-03-20,152000,9972728
2022-03-19,152000,9961781
2022-03-18,152000,9950605
2022-03-17,152000,9925604
2022-03-16,152000,9925604
2022-03-15,152000,9915480
2022-03-14,152000,9905309
2022-03-13,151000,9895657
2022-03-12,151000,9877455
2022-03-11,151000,9877455
2022-03-10,151000,9866383
2022-03-09,151000,9857053
2022-03-08,151000,9846682
2022-03-07,151000,9823028
2022-03-06,151000,9823028
2022-03-05,150000,9798951
2022-03-04,150000,9798951
2022-03-03,150000,9784134
2022-03-02,150000,9765493
2022-03-01,149000,9731793
2022-02-28,149000,9731793
2022-02-27,149000,9721157
2022-02-26,149000,9711253
2022-02-25,149000,9701375
2022-02-24,149000,9689745
2022-02-23,149000,9676609
2022-02-22,149000,9664713
2022-02-21,148000,9651501
2022-02-20,148000,9627128
2022-02-19,148000,9627128
2022-02-18,148000,9601824
2022-02-17,148000,9601824
2022-02-16,148000,9592363
2022-02-15,148000,9582602
2022-02-14,148000,9572369
2022-02-13,148000,9563673
2022-02-12,147000,9547116
2022-02-11,147000,9547116
2022-02-10,147000,9538294
2022-02-09,147000,9528373
2022-02-08,147000,9518629
2022-02-07,147000,9508812
2022-02-06,147000,9488932
2022-02-05,147000,9479831
2022-02-04,146000,9479831
2022-02-03,146000,9460136
2022-02-02,146000,9449583
2022-02-01,146000,9449583
2022-01-31,146000,9438934
2022-01-30,146000,9419035
2022-01-29,146000,9419035
2022-01-28,146000,9409674
2022-01-27,145000,9398989
2022-01-26,145000,9388053
2022-01-25,145000,9366770
2022-01-24,145000,9366770
2022-01-23,145000,9355227
2022-01-22,145000,9345574
2022-01-21,144000,9335207
2022-01-20,144000,9314352
2022-01-19,144000,9314352
2022-01-18,144000,9292647
2022-01-17,144000,9292647
