date,subs,views
2022-05-18,3430,19671
2022-05-17,3040,18935
2022-05-16,3010,18903
2022-05-15,3010,18866
2022-05-14,3010,18840
2022-05-13,3000,18790
2022-05-12,3010,18730
2022-05-11,3000,18664
2022-05-10,3000,18624
2022-05-09,3000,18573
2022-05-08,2990,18532
2022-05-07,2990,18507
2022-05-06,2990,18449
2022-05-05,2990,18410
2022-05-04,2990,18348
2022-05-03,2990,18283
2022-05-02,2980,18215
2022-05-01,2970,18181
2022-04-30,2970,18147
2022-04-29,2970,18111
2022-04-28,2970,18067
2022-04-27,2970,18016
2022-04-26,2960,17971
2022-04-25,2950,17918
2022-04-24,2950,17892
2022-04-23,2950,17864
2022-04-22,2950,17821
2022-04-21,2940,17766
2022-04-20,2940,17705
2022-04-19,2940,17651
2022-04-18,2940,17600
2022-04-17,2940,17566
2022-04-16,2940,17534
2022-04-15,2930,17502
2022-04-14,2930,17458
2022-04-13,2930,17394
2022-04-12,2920,17331
2022-04-11,2920,17278
2022-04-10,2920,17239
2022-04-08,2910,17169
2022-04-07,2910,17125
2022-04-06,2900,17065
2022-04-05,2900,17010
2022-04-04,2900,16953
2022-04-03,2890,16911
2022-04-02,2890,16877
2022-04-01,2890,16824
2022-03-31,2880,16770
2022-03-30,2880,16714
2022-03-29,2880,16676
2022-03-28,2880,16585
2022-03-27,2870,16541
2022-03-26,2870,16499
2022-03-25,2870,16447
2022-03-24,2860,16409
2022-03-23,2860,16357
2022-03-22,2860,16292
2022-03-21,2860,16232
2022-03-20,2850,16180
2022-03-19,2850,16125
2022-03-18,2850,16074
2022-03-17,2850,16023
2022-03-16,2840,15974
2022-03-15,2840,15918
2022-03-14,2830,15857
2022-03-13,2830,15810
2022-03-12,2820,15768
2022-03-11,2820,15726
2022-03-10,2820,15694
2022-03-09,2810,15654
2022-03-08,2800,15597
2022-03-07,2800,15530
2022-03-06,2800,15484
2022-03-05,2790,15441
2022-03-04,2780,15398
2022-03-03,2780,15350
2022-03-02,2780,15294
2022-03-01,2770,15223
2022-02-28,2760,15177
2022-02-27,2750,15138
2022-02-26,2740,15097
2022-02-25,2740,15049
2022-02-24,2730,14969
2022-02-23,2700,14917
2022-02-22,2690,14876
2022-02-21,2680,14839
2022-02-20,2680,14771
2022-02-19,2680,14730
2022-02-18,2670,14686
2022-02-17,2660,14628
2022-02-16,2660,14582
2022-02-15,2660,14536
2022-02-14,2660,14483
2022-02-13,2650,14449
2022-02-12,2650,14412
2022-02-11,2650,14371
2022-02-10,2640,14324
2022-02-09,2640,14275
2022-02-08,2640,14217
2022-02-07,2630,14168
2022-02-06,2630,14126
2022-02-05,2620,14089
2022-02-04,2620,14036
2022-02-03,2620,13944
2022-02-02,2620,13905
2022-02-01,2620,13874
2022-01-31,2610,13874
2022-01-30,2610,13831
2022-01-29,2610,13768
2022-01-28,2600,13731
2022-01-27,2590,13673
2022-01-26,2580,13629
2022-01-25,2580,13558
2022-01-24,2570,13515
2022-01-23,2570,13474
2022-01-22,2560,13436
2022-01-21,2560,13385
2022-01-20,2560,13360
2022-01-19,2550,13304
2022-01-18,2550,13255
2022-01-17,2550,13223
2022-01-16,2540,13160
2022-01-15,2530,13104
2022-01-14,2530,13057
2022-01-13,2520,12985
2022-01-12,2510,12897
2022-01-11,2510,12831
2022-01-10,2500,12781
2022-01-09,2500,12727
2022-01-08,2500,12678
2022-01-07,2490,12629
2022-01-06,2490,12587
2022-01-05,2490,12543
2022-01-04,2490,12505
2022-01-03,2490,12477
2022-01-02,2480,12435
2022-01-01,2480,12415
2021-12-31,2480,12388
2021-12-30,2480,12362
2021-12-29,2470,12328
2021-12-28,2470,12304
2021-12-27,2470,12284
2021-12-26,2470,12265
2021-12-25,2470,12249
2021-12-24,2460,12224
2021-12-23,2460,12188
2021-12-22,2460,12150
2021-12-21,2450,12119
2021-12-20,2450,12078
2021-12-19,2440,12045
2021-12-18,2440,12017
2021-12-17,2440,11980
2021-12-16,2430,11941
2021-12-15,2430,11892
2021-12-14,2420,11833
2021-12-13,2420,11777
2021-12-12,2410,11737
2021-12-11,2410,11701
2021-12-10,2410,11667
2021-12-09,2410,11613
2021-12-08,2400,11561
2021-12-07,2400,11530
2021-12-06,2390,11497
2021-12-05,2390,11469
2021-12-04,2390,11424
2021-12-03,2390,11379
2021-12-02,2380,11313
2021-12-01,2380,11266
2021-11-30,2370,11205
2021-11-29,2370,11165
2021-11-28,2370,11135
2021-11-27,2370,11106
2021-11-26,2360,11084
2021-11-25,2360,11058
2021-11-24,2360,11020
2021-11-23,2360,10970
2021-11-22,2360,10937
2021-11-21,2350,10895
2021-11-20,2350,10849
2021-11-19,2350,10802
2021-11-18,2350,10753
2021-11-17,2340,10716
2021-11-16,2340,10667
2021-11-15,2330,10625
2021-11-14,2320,10592
2021-11-13,2320,10559
2021-11-12,2320,10529
2021-11-11,2320,10487
2021-11-10,2310,10444
2021-11-09,2300,10409
2021-11-08,2300,10357
2021-11-07,2300,10305
2021-11-06,2290,10296
2021-11-05,2290,10247
2021-11-04,2290,10209
2021-11-03,2280,10173
2021-11-02,2270,10119
2021-11-01,2270,10083
2021-10-31,2270,10068
2021-10-30,2270,10026
2021-10-29,2270,9993
2021-10-28,2270,9942
2021-10-27,2260,9889
2021-10-26,2260,9852
2021-10-25,2260,9812
2021-10-24,2260,9778
2021-10-23,2260,9749
2021-10-22,2260,9714
2021-10-21,2250,9670
2021-10-20,2250,9638
2021-10-19,2240,9614
2021-10-18,2240,9554
2021-10-17,2240,9528
2021-10-16,2230,9476
2021-10-15,2230,9440
2021-10-14,2230,9384
2021-10-13,2220,9344
2021-10-12,2220,9292
2021-10-11,2210,9223
2021-10-10,2210,9204
2021-10-09,2200,9149
2021-10-08,2200,9103
2021-10-07,2190,9052
2021-10-06,2190,9029
2021-10-05,2190,8993
2021-10-04,2180,8950
2021-10-03,2180,8925
2021-10-02,2170,8853
2021-10-01,2160,8853
2021-09-30,2160,8831
2021-09-29,2150,8799
2021-09-28,2150,8759
2021-09-27,2150,8732
2021-09-26,2150,8706
2021-09-25,2140,8677
2021-09-24,2140,8614
2021-09-23,2130,8568
2021-09-22,2130,8526
2021-09-21,2130,8487
2021-09-20,2120,8457
2021-09-19,2120,8442
2021-09-18,2110,8412
2021-09-17,2110,8373
2021-09-16,2110,8334
2021-09-15,2100,8311
2021-09-14,2100,8259
2021-09-13,2100,8233
2021-09-12,2090,8205
2021-09-11,2090,8184
2021-09-10,2090,8157
2021-09-09,2080,8120
2021-09-08,2080,8090
2021-09-07,2080,8050
2021-09-06,2070,8027
2021-09-05,2070,8016
2021-09-04,2070,7989
2021-09-03,2070,7953
2021-09-02,2060,7918
2021-09-01,2060,7895
2021-08-31,2060,7866
2021-08-30,2050,7835
2021-08-29,2050,7822
2021-08-28,2050,7805
2021-08-27,2040,7773
2021-08-26,2040,7732
2021-08-25,2040,7687
2021-08-24,2040,7654
2021-08-23,2030,7615
2021-08-22,2030,7587
2021-08-21,2030,7561
2021-08-20,2020,7542
2021-08-19,2020,7515
2021-08-18,2010,7482
2021-08-17,2010,7450
2021-08-16,2010,7399
2021-08-15,2010,7372
2021-08-14,2000,7345
2021-08-13,2000,7317
2021-08-12,1990,7299
2021-08-11,1990,7273
2021-08-10,1990,7203
2021-08-09,1980,7203
