date,subs,views,subs_techtrek,views_techtrek,followers_instagram,following_instagram,media_instagram,avg_likes_instagram,avg_comments_instagram,followers_twitter,following_twitter,tweets_twitter,favorites_twitter,followers_tiktok,following_tiktok,likes_tiktok,uploads_tiktok
2022-05-18,160000.0,10609469.0,3430.0,19671.0,4607.0,817.0,163.0,561.875,32.625,4169.0,175.0,821.0,938.0,996.0,129.0,19300.0,22.0
2022-05-17,159000.0,10596085.0,3040.0,18935.0,4587.0,817.0,162.0,561.75,32.625,4165.0,175.0,819.0,938.0,,,,
2022-05-16,159000.0,10596085.0,3010.0,18903.0,4587.0,817.0,162.0,561.75,32.625,4154.0,175.0,814.0,935.0,,,,
2022-05-15,159000.0,10582538.0,3010.0,18866.0,4585.0,817.0,162.0,561.312,32.625,4140.0,175.0,803.0,922.0,,,,
2022-05-14,159000.0,10557181.0,3010.0,18840.0,4580.0,817.0,162.0,560.75,32.625,4131.0,175.0,800.0,920.0,,,,
2022-05-13,159000.0,10557181.0,3000.0,18790.0,4585.0,817.0,162.0,559.375,32.625,4125.0,173.0,787.0,915.0,,,,
2022-05-12,159000.0,10544247.0,3010.0,18730.0,4587.0,817.0,161.0,565.25,32.875,4123.0,173.0,783.0,909.0,,,,
2022-05-11,159000.0,10530573.0,3000.0,18664.0,4586.0,817.0,161.0,565.25,32.875,4109.0,173.0,781.0,906.0,,,,
2022-05-10,158000.0,10506763.0,3000.0,18624.0,4583.0,817.0,161.0,565.25,32.875,4098.0,173.0,774.0,902.0,,,,
2022-05-09,158000.0,10506763.0,3000.0,18573.0,4579.0,816.0,161.0,565.188,32.875,4096.0,173.0,770.0,899.0,,,,
2022-05-08,158000.0,10496296.0,2990.0,18532.0,4574.0,815.0,161.0,565.125,32.875,4093.0,174.0,766.0,898.0,,,,
2022-05-07,158000.0,10476971.0,2990.0,18507.0,4570.0,809.0,161.0,565.062,32.875,4092.0,174.0,764.0,896.0,,,,
2022-05-06,158000.0,10476971.0,2990.0,18449.0,4565.0,809.0,161.0,565.062,32.875,4087.0,174.0,762.0,895.0,,,,
2022-05-05,158000.0,10466032.0,2990.0,18410.0,4568.0,808.0,161.0,565.062,32.875,4086.0,174.0,759.0,894.0,,,,
2022-05-04,158000.0,10441147.0,2990.0,18348.0,4569.0,808.0,161.0,565.0,32.875,4084.0,174.0,750.0,894.0,,,,
2022-05-03,158000.0,10427778.0,2990.0,18283.0,4565.0,809.0,161.0,564.938,32.875,4079.0,174.0,748.0,891.0,,,,
2022-05-02,158000.0,10414709.0,2980.0,18215.0,4557.0,809.0,160.0,564.938,32.875,4058.0,174.0,742.0,884.0,,,,
2022-05-01,158000.0,10414709.0,2970.0,18181.0,4557.0,808.0,160.0,564.938,32.875,3840.0,173.0,726.0,871.0,,,,
2022-04-30,157000.0,10397030.0,2970.0,18147.0,4553.0,808.0,160.0,564.875,32.875,3833.0,173.0,725.0,869.0,,,,
2022-04-29,157000.0,10387557.0,2970.0,18111.0,4556.0,808.0,160.0,564.875,32.875,3833.0,173.0,723.0,866.0,,,,
2022-04-28,157000.0,10387557.0,2970.0,18067.0,4550.0,808.0,160.0,564.875,32.875,3812.0,173.0,721.0,863.0,,,,
2022-04-27,157000.0,10365869.0,2970.0,18016.0,4546.0,808.0,160.0,564.875,32.875,3813.0,173.0,720.0,863.0,,,,
2022-04-26,157000.0,10354350.0,2960.0,17971.0,4539.0,806.0,160.0,564.688,32.875,3803.0,167.0,699.0,860.0,,,,
2022-04-25,156000.0,10343929.0,2950.0,17918.0,4541.0,806.0,160.0,564.625,32.875,3798.0,165.0,691.0,853.0,,,,
2022-04-24,156000.0,10335314.0,2950.0,17892.0,4533.0,807.0,160.0,564.625,32.875,3795.0,165.0,688.0,851.0,,,,
2022-04-23,156000.0,10335314.0,2950.0,17864.0,4532.0,805.0,160.0,564.562,32.875,3781.0,165.0,684.0,847.0,,,,
2022-04-22,156000.0,10316919.0,2950.0,17821.0,4529.0,807.0,160.0,564.562,32.8125,3781.0,165.0,681.0,843.0,,,,
2022-04-21,156000.0,10306190.0,2940.0,17766.0,4524.0,805.0,159.0,564.562,32.75,3777.0,164.0,668.0,838.0,,,,
2022-04-20,156000.0,10306190.0,2940.0,17705.0,4525.0,804.0,159.0,564.125,32.625,3773.0,164.0,661.0,835.0,,,,
2022-04-19,156000.0,10285171.0,2940.0,17651.0,4518.0,801.0,159.0,563.188,32.625,3760.0,164.0,659.0,834.0,,,,
